,Rn_V_myTSEB,Rn_S_myTSEB,LE_V_myTSEB,LE_S_myTSEB,H_V_myTSEB,H_S_myTSEB,G_myTSEB,Trad_V_myTSEB,Trad_S_myTSEB
5153,564.0007097436177,44.49713477632132,0.0,-64.31136621370364,564.0007097436177,93.23450381831249,15.57399717171246,297.80474853515625,301.23106775042396
5154,401.2611262884734,12.42418126793828,0.0,-223.93060180142723,401.2611262884734,232.0063196255871,4.348463443778398,309.9433288574219,316.83000423312546
5155,725.4354394218595,-349.26095434833076,-2211.9118771025037,184928.46101172993,2937.347316524363,2432.899413505542,-187710.6213795838,323.9738464355469,362.81112114359723
5156,152.53400369442855,104.72603493069252,0.0,-129.5145992384294,152.53400369442855,197.58652194337955,36.65411222574238,301.00506591796875,305.63822426019436
5157,43.459459831084885,5.058692845848213,0.0002926417847675111,-85.18472816405894,43.45916718930012,88.47266438155557,1.7707566283515745,300.5775146484375,302.0063292493039
5158,334.5899003720982,127.9810088897014,0.0,-1960.6439802236305,334.5899003720982,2043.8316360019364,44.79335311139549,294.3541564941406,313.1186722745309
5159,161.36437677100008,492.27389763484325,5.315891526657197,177.11859318198498,156.04848524434288,148.29273469036633,166.86256976249192,293.5284729003906,296.6837546211724
5160,15.948108628205567,87.15758568729082,0.0,-1.430612012963742,15.948108628205567,58.083042709702774,30.505154990551784,310.21197509765625,310.63391418586576
5161,280.3156887158317,-38.58024684438932,0.0,-159.98484067778375,280.3156887158317,134.9076802289307,-13.503086395536261,305.98095703125,315.02330389890193
5162,470.58972511134937,236.9735156651235,0.0,-240.9337998041,470.58972511134937,394.9665849864303,82.94073048279321,289.79888916015625,307.4459133906889
5163,83.68730111978157,-129.9660729345084,0.0,-714.9140892322077,83.68730111978157,630.4361418247773,-45.48812552707793,311.32769775390625,328.2642202070016
5164,207.4471199737959,260.19671596933495,93.48239763919281,174.51258123162506,113.9647223346031,-1.499753013144692,87.1838877508546,307.78460693359375,306.72237789088365
5165,316.41054154826463,273.56276931589366,137.7564401736617,44.669162002908166,178.65410137460293,145.25100699368707,83.64260031929841,315.3187561035156,322.05507705446325
5166,294.27476468050077,18.164505654019315,80.83201860241377,14.24495261111296,213.442746078087,-0.1374973921699136,4.057050435076269,303.75982666015625,302.6680037680705
5167,-42.62330593764868,-112.8751740894474,0.0,-266.2123287896742,-42.62330593764868,192.8434656315334,-39.50631093130659,314.61065673828125,326.91573449250274
5168,182.79259011069198,-12.44990959364188,0.0,-50.86839539856028,182.79259011069198,42.775954162693054,-4.357468357774658,313.7760925292969,315.99004931610017
5169,484.08754988821045,-40.93944967841219,0.0005599741803052893,-633.3538879394885,484.08698991403014,606.7431137044781,-14.328675443401876,299.8702087402344,320.89658914135634
