,Rn_V_pyTSEB,Rn_S_pyTSEB,LE_V_pyTSEB,LE_S_pyTSEB,H_V_pyTSEB,H_S_pyTSEB,G_pyTSEB,Trad_V_pyTSEB,Trad_S_pyTSEB
247,343.40205424998635,126.44816679800505,174.78638,7.759865,168.61569,74.43144,44.25686,301.69025,301.9021
248,391.30646375815536,34.951271462675805,120.209045,10.412864,271.0974,12.305463,12.2329445,309.3936,309.77194
249,-49.34147054029541,-42.192018869333694,0.0,0.0,-49.34147,-27.424812,-14.767204,302.45786,306.68896
250,359.01363845234584,75.85044077037648,0.0,0.0,359.01364,49.30278,26.547653,287.58533,301.7939
251,356.56915123808994,-169.5974181855012,0.0,0.0,356.56915,-110.23832,-59.359093,322.59027,352.38394
252,76.33675131569092,220.5368805773861,0.0,0.0,76.33675,143.34898,77.18791,295.84943,299.5539
253,394.64192040648805,70.92880861352296,0.0,0.0,394.6419,46.10372,24.82508,299.58997,313.67065
254,76160579.51886903,-81703691.54541147,,0.0,29981160.0,,,25726.803,1e-06
255,326.8954377066468,-137.24196908374068,0.0,0.0,326.89545,-89.20728,-48.03469,306.36697,331.7704
256,247.02994738186678,193.7295486626656,0.0,0.0,247.02994,125.92421,67.80534,307.30585,323.25305
257,69.95692047173583,414.5253790453794,0.0,0.0,69.956924,269.44153,145.08388,310.2964,321.4371
258,451.09085694406923,-239.99110971647983,0.0,0.0,451.09085,-155.99422,-83.99689,315.2469,343.55582
259,749.2022688329,-347.3151016230578,0.0,0.0,749.2023,-225.75482,-121.56027,309.5375,356.149
260,145.2065637881688,132.19258373749267,62.9718,97.29185,82.23476,-11.366672,46.267403,309.14966,307.3272
261,159.25202061767425,28.947640614622486,0.0,0.0,159.25203,18.815968,10.131676,303.7497,310.4231
262,47.528839244188454,93.07339487168363,0.0,0.0,47.52884,60.49771,32.57569,292.27362,298.25656
263,229.9300418476215,125.77479932205168,28.657211,79.32707,201.27283,2.4265413,44.02118,297.04636,294.9604
264,320064991.55653465,-334066593.8011265,,0.0,19573296.0,,,22247.682,1e-06
265,208.7492781120265,-2.564802086435563,0.0,0.0,208.74928,-1.6671202,-0.89768004,297.43265,303.1634
266,328.53362842924673,152.75968659391864,0.0,0.0,328.53363,99.2938,53.46589,285.3854,291.8891
267,98.44515088790251,373.8468891705821,8.76403,124.465866,89.68112,118.53462,130.8464,292.72812,298.7065
268,565.6643049685563,41.20237505428196,0.0,0.0,565.6643,26.78154,14.42083,315.52997,327.46402
269,234.53806391749563,414.4136322565722,0.0,0.0,234.53806,269.36887,145.04477,313.69907,334.7699
270,inf,-inf,,0.0,inf,,,,1e-06
271,244.2142330392706,62.11282641104772,0.0,0.0,244.21422,40.373337,21.739489,316.2226,320.26996
272,-5.8963180345015935,-92.5205690805567,0.0,0.0,-5.896318,-60.13837,-32.3822,284.77948,294.47263
273,-195.80261394505465,220.70737138508042,0.0,0.0,-195.80261,143.4598,77.247574,312.54337,404.83887
274,-11.673113784778886,-96.85598809120054,0.0,0.0,-11.673114,-62.956394,-33.899593,298.75027,308.5931
275,478.260248401691,178.06704465303525,279.94537,101.3653,198.31488,14.378273,62.32346,296.7645,294.9107
276,247877.24530244243,-262223.75148813537,,0.0,165949.48,,,531.61896,1e-06
277,359.4972691210332,366.62947313173447,0.0,0.0,359.49728,238.30914,128.32031,286.7133,298.9624
278,268.32182556998686,152.65970291027486,0.0,0.0,268.32184,99.228806,53.430893,304.70645,310.75055
279,49.175642138400434,174.36765072171409,0.0,0.0,49.17564,113.33898,61.02868,317.7206,326.26276
